,Model,Sensitivity,Specificity,Accuracy,AUC,running_time,n_feature
0,dt_reduce,"1.0 (0.5655175352168252, 1.0)","0.7 (0.491342437312408, 0.84395975546786)","0.75 (0.5664432968100105, 0.8732350508070669)",0.71 0.7083333333333333,,
1,lg,"0.46 (0.23206067809538303, 0.70856204285494)","0.6 (0.357468301206246, 0.8017550385865843)","0.54 (0.35812689234467915, 0.7046843001720463)",0.53 0.53125,,
2,nn,"1.0 (0.5655175352168252, 1.0)","0.7 (0.491342437312408, 0.84395975546786)","0.75 (0.5664432968100105, 0.8732350508070669)",0.71 0.7083333333333333,,
3,sfe_knn,"0.9 (0.5958499732047615, 0.9821237869049271)","0.83 (0.6077796189608428, 0.9416342319413856)","0.86 (0.6851019783647471, 0.9430099468025062)",0.84 0.84375,,
4,svm_reduce,"0.55 (0.280091537409322, 0.7872872837754024)","0.65 (0.41300363485218694, 0.8269027960275627)","0.61 (0.4240904429659719, 0.7643431345842041)",0.59 0.59375,,
5,knn_reduce,"0.9 (0.5958499732047615, 0.9821237869049271)","0.83 (0.6077796189608428, 0.9416342319413856)","0.86 (0.6851019783647471, 0.9430099468025062)",0.84 0.84375,,
6,dt,"0.69 (0.44404355834740666, 0.8583535614521797)","0.92 (0.646120088858883, 0.985134905595083)","0.79 (0.6046141434627813, 0.8978753966710212)",0.8 0.8020833333333334,,
7,svc,"0.62 (0.38641040545502725, 0.8151876744113636)","0.83 (0.5519691377470266, 0.9530348578161462)","0.71 (0.5294071156670429, 0.847460039433309)",0.73 0.7291666666666667,,
8,nn_reduce,"0.89 (0.5650002944233439, 0.9801091123614551)","0.79 (0.5666572155618584, 0.9149232336708375)","0.82 (0.6440857521065705, 0.9212149805439573)",0.8 0.8020833333333334,,
9,sfe_dt,"0.73 (0.48049565944019434, 0.8910254667430764)","0.92 (0.6668604907890041, 0.9862895787574433)","0.82 (0.6440857521065705, 0.9212149805439573)",0.83 0.8333333333333333,,
10,sfe_svm,"0.89 (0.5650002944233439, 0.9801091123614551)","0.79 (0.5666572155618584, 0.9149232336708375)","0.82 (0.6440857521065705, 0.9212149805439573)",0.8 0.8020833333333334,,
