Features,Phenotype
rs1061728,Type 2 diabetes
rs4512713,Claudication in type 2 diabetes
rs2251987,Type 2 diabetes
rs895432,Type 2 diabetes
rs13018934,End-stage renal disease vs. no ESRD in type 2 diabetes (T2D)
rs1483711,Coronary artery disease in type 2 diabetes (CAD in T2D)
rs2544600,Triglyceride levels in individuals without type 2 diabetes
rs3128853,Youth-onset type 2 diabetes (T2D)
rs763046,Chronic kidney disease (CKD) in type 2 diabetes (T2D)
rs3814481,Triglyceride levels in individuals with type 2 diabetes
rs1584614,NAFLD in type 2 diabetes (T2D)
rs2392572,Chronic kidney disease in type 2 diabetes
rs6463449,Type 2 diabetes (T2D)
rs11784716,Type 2 diabetes (T2D) adj BMI
rs6468093,Microalbuminuria in type 2 diabetes (T2D)
rs6991513,eGFRcreat (serum creatinine) in type 2 diabetes
rs10780871,Cardiovascular disease in type 2 diabetes (T2D)
rs2045732,Chronic kidney disease in type 2 diabetes
rs1949755,Type 2 diabetes (T2D)
rs3739512,Type 2 diabetes (T2D)
rs3818581,Coronary artery disease in type 2 diabetes (CAD in T2D)
rs2797491,Peripheral vascular disease in type 2 diabetes
rs1613448,Type 2 diabetes (T2D)
rs892336,Macroalbuminuria in type 2 diabetes (T2D)
rs2956109,Type 2 diabetes (T2D)
rs10838693,Triglyceride levels in individuals with type 2 diabetes
rs4646823,Cardiovascular disease in type 2 diabetes (T2D)
rs2306180,Mild obesity-related type 2 diabetes
rs7132431,Peripheral vascular disease in type 2 diabetes
rs1284467,Chronic kidney disease (CKD) and diabetic nephropathy in type 2 diabetes
rs6488867,Peripheral vascular disease in type 2 diabetes
rs3812896,Type 2 diabetes (T2D)
rs1042631,End-stage renal disease vs. no ESRD in type 2 diabetes (T2D)
rs8064024,Severe insulin-deficient type 2 diabetes
rs1376041,Type 2 diabetes (T2D) adj BMI
rs2236375,Stroke in type 2 diabetes
rs61075345,Microalbuminuria in type 2 diabetes (T2D)
rs6587220,Youth-onset type 2 diabetes (T2D)
rs8068049,Severe insulin-deficient type 2 diabetes
rs4602,Type 2 diabetes (with no history of pregnancy)
rs1156287,Coronary heart disease or stroke or peripheral vascular disease in type 2 diabetes (T2D)
rs2382647,Microalbuminuria in type 2 diabetes (T2D)
rs12970083,Microalbuminuria in type 2 diabetes (T2D)
rs8085482,Youth-onset type 2 diabetes (T2D)
rs803665,Peripheral artery disease in type 2 diabetes (T2D)
rs2424217,End-stage renal disease vs. no ESRD in type 2 diabetes (T2D)
rs910152,Macroalbuminuria in type 2 diabetes (T2D)
rs4809287,Youth-onset type 2 diabetes (T2D)
rs4818947,Triglyceride levels in individuals without type 2 diabetes
rs5760472,Microalbuminuria in type 2 diabetes (T2D)
rs1476576,Type 2 diabetes (T2D) adj BMI
