,features
0,rs4322186
1,rs2797098
2,rs6424534
3,rs524219
4,rs2091510
5,rs12021920
6,rs984222
7,rs543874
8,rs10913469
9,rs2605100
10,rs28370041
11,rs939582
12,rs2867124
13,rs11127485
14,rs6548238
15,rs6745262
16,rs4854343
17,rs117879374
18,rs187205547
19,rs140440965
20,rs6795735
21,rs186470486
22,rs34749134
23,rs6905288
24,rs3814478
25,rs88032
26,rs660339
27,rs11860225
28,rs147340331
29,rs10500331
30,rs11643187
31,rs1946127
32,rs11077019
33,rs79774828
34,rs9937775
35,rs8049439
36,rs142922470
37,rs117430099
38,rs117696251
39,rs1558902
40,rs7190492
41,rs8044769
42,rs74884695
43,rs1424233
44,rs7503807
45,rs4798616
46,rs1805081
47,rs558699
48,rs435942
49,rs13041126
50,SEX
